x, y
52.325806451612905, -27.41627906976744
53.45777126099707, -27.901744186046514
53.59266862170088, -27.672093023255815
53.42258064516129, -27.663372093023256
53.14692082111437, -27.148837209302325
53.217302052785925, -27.398837209302325
52.973900293255134, -27.55872093023256
53.231964809384166, -27.7796511627907
53.57214076246334, -28.39593023255814
53.264222873900295, -28.317441860465117
53.22023460410557, -28.547093023255815
52.19970674486804, -27.206976744186047
52.07947214076246, -27.497674418604653
52.290615835777125, -27.590697674418607
52.419648093841644, -27.68372093023256
52.34926686217009, -27.724418604651163
52.36979472140763, -27.797093023255815
52.792082111436955, -28.172093023255815
51.98269794721408, -27.956976744186047
51.90058651026393, -27.97732558139535
52.01202346041056, -28.206976744186047
52.196774193548386, -28.41046511627907
52.87712609970674, -28.523837209302325
52.57214076246334, -28.465697674418607
52.38152492668622, -28.503488372093024
52.51642228739003, -28.709883720930232
52.16158357771261, -28.686627906976746
52.92404692082111, -28.858139534883723
53.129325513196484, -28.837790697674418
